A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808000 G1:80000004 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000100 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8480 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008010 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808280 G1:80008000 G2:a000a000 G3:15151d15 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15155515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a4828482 G3:55955595 
A0- G0:8080 G1:85f5 G2:a482 G3:5595 A1- G0:8080 G1:8001 G2:a000 G3:1515 A2- G0:95aa G1:84d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:c0000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955795 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:c0000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:89888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:0001 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80818080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80004000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:8888c888 G3:15151515 
A0- G0:8082 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8004 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80828082 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:2000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955591 
